sell_order,case_id,type,size2,size1,size0,eva_price,tumbon,aumper,province,deed_number,pay_down,sell_table,status,max_price,announce_date,img,link,page,lat,lon,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,timestamp
1 - 1,ผบ.1052/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,26.8,746176.0,หน้าไม้,ลาดหลุมแก้ว,ปทุมธานี,31298,50000.0,"{'1': {'date': '30/01/2567', 'sta': '-'}, '2': {'date': '20/02/2567', 'sta': '-'}, '3': {'date': '12/03/2567', 'sta': '-'}, '4': {'date': '02/04/2567', 'sta': '-'}, '5': {'date': '23/04/2567', 'sta': '-'}, '6': {'date': '14/05/2567', 'sta': '-'}}",ปลอดการจำนอง,746176.0,09-12-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/30/31298p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/30/31298j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1052&law_suit_year=2565&deed_no=31298&addrno=112/10,1/1,,,20240130,-,"['20240130', '20240220', '20240312', '20240402', '20240423', '20240514']",1.0,0.0,746176.0,https://asset.led.go.th/PPKPicture/2566/11-2566/30/31298p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/31298j.jpg,2023-12-16
1 - 1,ผบ.5493/2562,ที่ดินว่างเปล่า,0,0,74.4,223200.0,กระแชง,สามโคก,ปทุมธานี,28540,25000.0,"{'1': {'date': '14/09/2566', 'sta': 'งดขาย'}, '2': {'date': '05/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '26/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '16/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '07/12/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '6': {'date': '28/12/2566', 'sta': '-'}}",ปลอดภาระผูกพัน,223200.0,05-08-2566,"['https://asset.led.go.th/PPKPicture/2566/07-2566/25/28540p.jpg', 'https://asset.led.go.th/PPKPicture/2566/07-2566/25/28540j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.5493&law_suit_year=2562&deed_no=28540&addrno=-,2/1,14.04470003,100.54689851,20231228,-,"['20230914', '20231005', '20231026', '20231116', '20231207', '20231228']",6.0,3.0,156240.0,https://asset.led.go.th/PPKPicture/2566/07-2566/25/28540p.jpg,https://asset.led.go.th/PPKPicture/2566/07-2566/25/28540j.jpg,2023-12-16
1 - 1,ผบE.3903/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,16.0,1005940.0,บางพูน,เมืองปทุมธานี,ปทุมธานี,54878,150000.0,"{'1': {'date': '30/11/2566', 'sta': 'งดขาย'}, '2': {'date': '21/12/2566', 'sta': 'งดขาย'}, '3': {'date': '11/01/2567', 'sta': 'งดขาย'}, '4': {'date': '01/02/2567', 'sta': 'งดขาย'}, '5': {'date': '22/02/2567', 'sta': 'งดขาย'}, '6': {'date': '14/03/2567', 'sta': 'งดขาย'}}",ปลอดการจำนอง,1005940.0,19-10-2566,"['https://asset.led.go.th/PPKPicture/2566/10-2566/05/54878p.jpg', 'https://asset.led.go.th/PPKPicture/2566/10-2566/05/54878j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3903&law_suit_year=2565&deed_no=54878&addrno=83/191,3/1,13.98077357,100.57281249,20231221,งดขาย,"['20231130', '20231221', '20240111', '20240201', '20240222', '20240314']",2.0,0.0,1005940.0,https://asset.led.go.th/PPKPicture/2566/10-2566/05/54878p.jpg,https://asset.led.go.th/PPKPicture/2566/10-2566/05/54878j.jpg,2023-12-16
1 - 1,ผบE.540/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,53.7,2263820.0,บางคูวัด,เมืองปทุมธานี,ปทุมธานี,75601,150000.0,"{'1': {'date': '28/12/2566', 'sta': '-'}, '2': {'date': '18/01/2567', 'sta': '-'}, '3': {'date': '08/02/2567', 'sta': '-'}, '4': {'date': '29/02/2567', 'sta': '-'}, '5': {'date': '21/03/2567', 'sta': '-'}, '6': {'date': '11/04/2567', 'sta': '-'}}",ปลอดการจำนอง,2263820.0,13-11-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/02/75601p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/02/75601j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.540&law_suit_year=2563&deed_no=75601&addrno=39/148,4/1,13.94273745,100.49485356,20231228,-,"['20231228', '20240118', '20240208', '20240229', '20240321', '20240411']",1.0,0.0,2263820.0,https://asset.led.go.th/PPKPicture/2566/11-2566/02/75601p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/02/75601j.jpg,2023-12-16
1 - 1,ผบE.738/2564,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,20.7,1167486.6,บางกะดี,เมืองปทุมธานี,ปทุมธานี,103685,150000.0,"{'1': {'date': '24/10/2566', 'sta': 'ขายได้'}, '2': {'date': '14/11/2566', 'sta': 'ขายได้'}, '3': {'date': '04/12/2566', 'sta': 'ขายได้'}, '4': {'date': '26/12/2566', 'sta': 'ขายได้'}, '5': {'date': '16/01/2567', 'sta': 'ขายได้'}, '6': {'date': '06/02/2567', 'sta': 'ขายได้'}}",ปลอดการจำนอง,1167486.0,15-09-2566,"['https://asset.led.go.th/PPKPicture/2566/09-2566/01/103685p.jpg', 'https://asset.led.go.th/PPKPicture/2566/09-2566/01/103685j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.738&law_suit_year=2564&deed_no=103685&addrno=108/146,5/1,13.99357812,100.54699067,20231226,ขายได้,"['20231024', '20231114', '20231204', '20231226', '20240116', '20240206']",4.0,0.0,1167486.0,https://asset.led.go.th/PPKPicture/2566/09-2566/01/103685p.jpg,https://asset.led.go.th/PPKPicture/2566/09-2566/01/103685j.jpg,2023-12-16
2 - 1,ผบ.1633/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,70.1,2194138.0,คลองพระอุดม,ลาดหลุมแก้ว,ปทุมธานี,36399,150000.0,"{'1': {'date': '30/01/2567', 'sta': '-'}, '2': {'date': '20/02/2567', 'sta': '-'}, '3': {'date': '12/03/2567', 'sta': '-'}, '4': {'date': '02/04/2567', 'sta': '-'}, '5': {'date': '23/04/2567', 'sta': '-'}, '6': {'date': '14/05/2567', 'sta': '-'}}",ปลอดการจำนอง,2194138.0,09-12-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/30/36399p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/30/36399j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1633&law_suit_year=2563&deed_no=36399&addrno=99/259,6/1,,,20240130,-,"['20240130', '20240220', '20240312', '20240402', '20240423', '20240514']",1.0,0.0,2194138.0,https://asset.led.go.th/PPKPicture/2566/11-2566/30/36399p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/30/36399j.jpg,2023-12-16
2 - 1,ผบE.3699/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,24.2,1624530.0,บางหลวง,เมืองปทุมธานี,ปทุมธานี,97146,150000.0,"{'1': {'date': '14/09/2566', 'sta': 'งดขาย'}, '2': {'date': '05/10/2566', 'sta': 'ขายได้'}, '3': {'date': '26/10/2566', 'sta': 'ขายได้'}, '4': {'date': '16/11/2566', 'sta': 'ขายได้'}, '5': {'date': '07/12/2566', 'sta': 'ขายได้'}, '6': {'date': '28/12/2566', 'sta': 'ขายได้'}}",ปลอดการจำนอง,1624530.0,09-08-2566,"['https://asset.led.go.th/PPKPicture/2566/07-2566/25/97146p.jpg', 'https://asset.led.go.th/PPKPicture/2566/07-2566/25/97146j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.3699&law_suit_year=2565&deed_no=97146&addrno=122/127,7/1,13.99839902,100.52683083,20231228,ขายได้,"['20230914', '20231005', '20231026', '20231116', '20231207', '20231228']",6.0,0.0,1624530.0,https://asset.led.go.th/PPKPicture/2566/07-2566/25/97146p.jpg,https://asset.led.go.th/PPKPicture/2566/07-2566/25/97146j.jpg,2023-12-16
2 - 1,ผบE.4029/2565,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,17.9,718704.0,บ้านปทุม,สามโคก,ปทุมธานี,20677,50000.0,"{'1': {'date': '24/10/2566', 'sta': 'งดขาย'}, '2': {'date': '14/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '04/12/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '26/12/2566', 'sta': '-'}, '5': {'date': '16/01/2567', 'sta': '-'}, '6': {'date': '06/02/2567', 'sta': '-'}}",ปลอดการจำนอง,718704.0,15-09-2566,"['https://asset.led.go.th/PPKPicture/2566/09-2566/01/20677p.jpg', 'https://asset.led.go.th/PPKPicture/2566/09-2566/01/20677j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4029&law_suit_year=2565&deed_no=20677&addrno=125/351,8/1,14.07339201,100.55442437,20231226,-,"['20231024', '20231114', '20231204', '20231226', '20240116', '20240206']",4.0,2.0,574963.0,https://asset.led.go.th/PPKPicture/2566/09-2566/01/20677p.jpg,https://asset.led.go.th/PPKPicture/2566/09-2566/01/20677j.jpg,2023-12-16
2 - 1,ผบ.1259/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,14.0,684880.0,บ้านฉาง(บางหลวงฝั่งเหนือ),เมืองปทุมธานี(เชียงราก),ปทุมธานี,20521,10000.0,"{'1': {'date': '30/11/2566', 'sta': 'งดขาย'}, '2': {'date': '21/12/2566', 'sta': 'งดขาย'}, '3': {'date': '11/01/2567', 'sta': 'งดขาย'}, '4': {'date': '01/02/2567', 'sta': 'งดขาย'}, '5': {'date': '22/02/2567', 'sta': 'งดขาย'}, '6': {'date': '14/03/2567', 'sta': 'งดขาย'}}",การจำนองติดไป,684880.0,19-10-2566,"['https://asset.led.go.th/PPKPicture/2566/10-2566/05/20521p.jpg', 'https://asset.led.go.th/PPKPicture/2566/10-2566/05/20521j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1259&law_suit_year=2563&deed_no=20521&addrno=318/10,9/1,13.96868608,100.58788166,20231221,งดขาย,"['20231130', '20231221', '20240111', '20240201', '20240222', '20240314']",2.0,0.0,684880.0,https://asset.led.go.th/PPKPicture/2566/10-2566/05/20521p.jpg,https://asset.led.go.th/PPKPicture/2566/10-2566/05/20521j.jpg,2023-12-16
2 - 1,ผบE.388/2566,ที่ดินพร้อมสิ่งปลูกสร้าง,1,0,94.3,3808510.0,ลาดหลุมแก้ว,ลาดหลุมแก้ว,ปทุมธานี,55634,250000.0,"{'1': {'date': '28/12/2566', 'sta': '-'}, '2': {'date': '18/01/2567', 'sta': '-'}, '3': {'date': '08/02/2567', 'sta': '-'}, '4': {'date': '29/02/2567', 'sta': '-'}, '5': {'date': '21/03/2567', 'sta': '-'}, '6': {'date': '11/04/2567', 'sta': '-'}}",ปลอดการจำนอง,3808510.0,13-11-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/02/55634p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/02/55634j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.388&law_suit_year=2566&deed_no=55634&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,10/1,13.99269832,100.41505962,20231228,-,"['20231228', '20240118', '20240208', '20240229', '20240321', '20240411']",1.0,0.0,3808510.0,https://asset.led.go.th/PPKPicture/2566/11-2566/02/55634p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/02/55634j.jpg,2023-12-16
