sell_order,case_id,type,size2,size1,size0,eva_price,tumbon,aumper,province,deed_number,pay_down,sell_table,status,max_price,announce_date,img,link,page,lat,lon,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,timestamp
1 - 1,ผบE.365/2565,ที่ดินว่างเปล่า,0,0,9.2,2760.0,บางลูกเสือ,องครักษ์,นครนายก,81314,500,"{'1': {'date': '17/01/2567', 'sta': '-'}, '2': {'date': '07/02/2567', 'sta': '-'}, '3': {'date': '28/02/2567', 'sta': '-'}, '4': {'date': '20/03/2567', 'sta': '-'}, '5': {'date': '10/04/2567', 'sta': '-'}, '6': {'date': '01/05/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,2760,20-11-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/02/81314p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/02/81314j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.365&law_suit_year=2565&deed_no=81314&addrno=-,1/1,14.02070133,101.0802913,20240117,-,"['20240117', '20240207', '20240228', '20240320', '20240410', '20240501']",1,0,2760,https://asset.led.go.th/PPKPicture/2566/11-2566/02/81314p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/02/81314j.jpg,2023-12-14
1 - 1,ผบ.2986/2560,ที่ดินว่างเปล่า,0,3,74.0,149600.0,พิกุลออก,บ้านนา,นครนายก,45290,5000,"{'1': {'date': '13/12/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '03/01/2567', 'sta': '-'}, '3': {'date': '24/01/2567', 'sta': '-'}, '4': {'date': '14/02/2567', 'sta': '-'}, '5': {'date': '06/03/2567', 'sta': '-'}, '6': {'date': '27/03/2567', 'sta': '-'}}",การจำนองติดไป,149600,16-10-2566,"['https://asset.led.go.th/PPKPicture/2566/09-2566/28/45290p.jpg', 'https://asset.led.go.th/PPKPicture/2566/09-2566/28/45290j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.2986&law_suit_year=2560&deed_no=45290&addrno=-,2/1,14.23685134,101.01120702,20240103,-,"['20231213', '20240103', '20240124', '20240214', '20240306', '20240327']",2,1,134640,https://asset.led.go.th/PPKPicture/2566/09-2566/28/45290p.jpg,https://asset.led.go.th/PPKPicture/2566/09-2566/28/45290j.jpg,2023-12-14
1 - 1,ด.1947/2540,ที่ดินว่างเปล่า,0,0,50.0,7500.0,ศรีจุฬา,เมืองนครนายก,นครนายก,212/26,1000,"{'1': {'date': '20/09/2566', 'sta': 'เจ้าพนักงานงดขาย'}, '2': {'date': '11/10/2566', 'sta': 'ขายได้'}, '3': {'date': '01/11/2566', 'sta': 'ขายได้'}, '4': {'date': '22/11/2566', 'sta': 'ขายได้'}, '5': {'date': '13/12/2566', 'sta': 'ขายได้'}, '6': {'date': '03/01/2567', 'sta': 'ขายได้'}}",ปลอดภาระผูกพัน,7500,20-07-2566,"['https://asset.led.go.th/PPKPicture/2566/06-2566/22/212-26p.jpg', 'https://asset.led.go.th/PPKPicture/2566/06-2566/22/212-26j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%B4.1947&law_suit_year=2540&deed_no=212/26&addrno=-,3/1,14.25091204,101.17199067,20240103,ขายได้,"['20230920', '20231011', '20231101', '20231122', '20231213', '20240103']",6,0,7500,https://asset.led.go.th/PPKPicture/2566/06-2566/22/212-26p.jpg,https://asset.led.go.th/PPKPicture/2566/06-2566/22/212-26j.jpg,2023-12-14
1 - 1,ผบ.4493/2563,ที่ดินว่างเปล่า,0,0,50.0,60000.0,หัวกระบือ,องครักษ์,นครนายก,42324,5000,"{'1': {'date': '22/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '13/12/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '03/01/2567', 'sta': '-'}, '4': {'date': '24/01/2567', 'sta': '-'}, '5': {'date': '14/02/2567', 'sta': '-'}, '6': {'date': '06/03/2567', 'sta': '-'}}",ปลอดการจำนอง,60000,22-09-2566,"['https://asset.led.go.th/PPKPicture/2566/08-2566/10/42324p.jpg', 'https://asset.led.go.th/PPKPicture/2566/08-2566/10/42324j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4493&law_suit_year=2563&deed_no=42324&addrno=-,4/1,14.0764368,100.99052163,20240103,-,"['20231122', '20231213', '20240103', '20240124', '20240214', '20240306']",3,2,48000,https://asset.led.go.th/PPKPicture/2566/08-2566/10/42324p.jpg,https://asset.led.go.th/PPKPicture/2566/08-2566/10/42324j.jpg,2023-12-14
1 - 2,ด.1947/2540,ที่ดินว่างเปล่า,0,0,50.0,7500.0,ศรีจุฬา,เมืองนครนายก,นครนายก,213/26,1000,"{'1': {'date': '20/09/2566', 'sta': 'เจ้าพนักงานงดขาย'}, '2': {'date': '11/10/2566', 'sta': 'ขายได้'}, '3': {'date': '01/11/2566', 'sta': 'ขายได้'}, '4': {'date': '22/11/2566', 'sta': 'ขายได้'}, '5': {'date': '13/12/2566', 'sta': 'ขายได้'}, '6': {'date': '03/01/2567', 'sta': 'ขายได้'}}",ปลอดภาระผูกพัน,7500,20-07-2566,"['https://asset.led.go.th/PPKPicture/2566/06-2566/22/213-26p.jpg', 'https://asset.led.go.th/PPKPicture/2566/06-2566/22/213-26j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%B4.1947&law_suit_year=2540&deed_no=213/26&addrno=-,5/1,14.3221288,101.29047726,20240103,ขายได้,"['20230920', '20231011', '20231101', '20231122', '20231213', '20240103']",6,0,7500,https://asset.led.go.th/PPKPicture/2566/06-2566/22/213-26p.jpg,https://asset.led.go.th/PPKPicture/2566/06-2566/22/213-26j.jpg,2023-12-14
2 - 1,ผบ.4853/2557,ที่ดินว่างเปล่า,0,0,50.0,30000.0,ศรีจุฬา,เมืองนครนายก,นครนายก,19531,5000,"{'1': {'date': '17/01/2567', 'sta': '-'}, '2': {'date': '07/02/2567', 'sta': '-'}, '3': {'date': '28/02/2567', 'sta': '-'}, '4': {'date': '20/03/2567', 'sta': '-'}, '5': {'date': '10/04/2567', 'sta': '-'}, '6': {'date': '01/05/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,30000,20-11-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/02/19531p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/02/19531j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.4853&law_suit_year=2557&deed_no=19531&addrno=-,6/1,14.03440748,101.17841983,20240117,-,"['20240117', '20240207', '20240228', '20240320', '20240410', '20240501']",1,0,30000,https://asset.led.go.th/PPKPicture/2566/11-2566/02/19531p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/02/19531j.jpg,2023-12-14
2 - 1,ผบ.1539/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,0,1,0.0,1856960.0,บางปลากด,องครักษ์,นครนายก,83481,5000,"{'1': {'date': '18/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '08/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '29/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '20/12/2566', 'sta': '-'}, '5': {'date': '10/01/2567', 'sta': '-'}, '6': {'date': '31/01/2567', 'sta': '-'}}",การจำนองติดไป,1856960,18-08-2566,"['https://asset.led.go.th/PPKPicture/2566/07-2566/03/83481p.jpg', 'https://asset.led.go.th/PPKPicture/2566/07-2566/03/83481j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1539&law_suit_year=2562&deed_no=83481&addrno=99/24,7/1,14.1714086,101.01396285,20231220,-,"['20231018', '20231108', '20231129', '20231220', '20240110', '20240131']",4,3,1299872,https://asset.led.go.th/PPKPicture/2566/07-2566/03/83481p.jpg,https://asset.led.go.th/PPKPicture/2566/07-2566/03/83481j.jpg,2023-12-14
2 - 1,ผบE.1998/2565,ที่ดินว่างเปล่า,0,0,50.0,40000.0,บางปลากด,องครักษ์,นครนายก,17313,5000,"{'1': {'date': '22/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '13/12/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '03/01/2567', 'sta': '-'}, '4': {'date': '24/01/2567', 'sta': '-'}, '5': {'date': '14/02/2567', 'sta': '-'}, '6': {'date': '06/03/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,40000,22-09-2566,"['https://asset.led.go.th/PPKPicture/2566/08-2566/10/17313p.jpg', 'https://asset.led.go.th/PPKPicture/2566/08-2566/10/17313j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.1998&law_suit_year=2565&deed_no=17313&addrno=-,8/1,14.17836967,100.98747255,20240103,-,"['20231122', '20231213', '20240103', '20240124', '20240214', '20240306']",3,2,32000,https://asset.led.go.th/PPKPicture/2566/08-2566/10/17313p.jpg,https://asset.led.go.th/PPKPicture/2566/08-2566/10/17313j.jpg,2023-12-14
2 - 1,ผบE.4425/2565,ที่ดินว่างเปล่า,0,0,50.0,30000.0,ศรีจุฬา,เมืองนครนายก,นครนายก,19591,5000,"{'1': {'date': '20/09/2566', 'sta': 'งดขาย'}, '2': {'date': '11/10/2566', 'sta': 'งดขาย'}, '3': {'date': '01/11/2566', 'sta': 'งดขาย'}, '4': {'date': '22/11/2566', 'sta': 'งดขาย'}, '5': {'date': '13/12/2566', 'sta': 'งดขาย'}, '6': {'date': '03/01/2567', 'sta': 'งดขาย'}}",ปลอดภาระผูกพัน,30000,20-07-2566,"['https://asset.led.go.th/PPKPicture/2566/06-2566/22/19591p.jpg', 'https://asset.led.go.th/PPKPicture/2566/06-2566/22/19591j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.4425&law_suit_year=2565&deed_no=19591&addrno=-,9/1,14.03304742,101.17908753,20240103,งดขาย,"['20230920', '20231011', '20231101', '20231122', '20231213', '20240103']",6,0,30000,https://asset.led.go.th/PPKPicture/2566/06-2566/22/19591p.jpg,https://asset.led.go.th/PPKPicture/2566/06-2566/22/19591j.jpg,2023-12-14
2 - 1,ผบ.1011/2564,ที่ดินว่างเปล่า,0,0,50.0,55000.0,หัวกระบือ,องครักษ์,นครนายก,38237,5000,"{'1': {'date': '13/12/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '03/01/2567', 'sta': '-'}, '3': {'date': '24/01/2567', 'sta': '-'}, '4': {'date': '14/02/2567', 'sta': '-'}, '5': {'date': '06/03/2567', 'sta': '-'}, '6': {'date': '27/03/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,55000,16-10-2566,"['https://asset.led.go.th/PPKPicture/2566/09-2566/28/38237p.jpg', 'https://asset.led.go.th/PPKPicture/2566/09-2566/28/38237j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1011&law_suit_year=2564&deed_no=38237&addrno=-,10/1,14.07753096,100.98519559,20240103,-,"['20231213', '20240103', '20240124', '20240214', '20240306', '20240327']",2,1,49500,https://asset.led.go.th/PPKPicture/2566/09-2566/28/38237p.jpg,https://asset.led.go.th/PPKPicture/2566/09-2566/28/38237j.jpg,2023-12-14
