sell_order,case_id,type,size2,size1,size0,eva_price,tumbon,aumper,province,deed_number,pay_down,sell_table,status,max_price,announce_date,img,link,page,lat,lon,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,timestamp
1 - 1,ผบ.3013/2561,ที่ดินว่างเปล่า,1,0,48.0,156800.0,บ้านโป่ง,งาว,ลำปาง,4038,5000,"{'1': {'date': '28/09/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '19/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '09/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '30/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '21/12/2566', 'sta': '-'}, '6': {'date': '11/01/2567', 'sta': '-'}}",การจำนองติดไป,156800,31-07-2566,"['https://asset.led.go.th/PPKPicture/2566/07-2566/17/4038p.jpg', 'https://asset.led.go.th/PPKPicture/2566/07-2566/17/4038j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.3013&law_suit_year=2561&deed_no=4038&addrno=-,1/1,18.72058597,99.9768313,20231221,-,"['20230928', '20231019', '20231109', '20231130', '20231221', '20240111']",5,4,109760,https://asset.led.go.th/PPKPicture/2566/07-2566/17/4038p.jpg,https://asset.led.go.th/PPKPicture/2566/07-2566/17/4038j.jpg,2023-12-02
1 - 1,มย.43/2562,สิ่งปลูกสร้าง,0,0,0.0,403920.0,ตำบลทุ่งผึ้ง,อำเภอแจ้ห่ม,ลำปาง,-,10000,"{'1': {'date': '23/08/2566', 'sta': '-'}, '2': {'date': '13/09/2566', 'sta': '-'}, '3': {'date': '04/10/2566', 'sta': '-'}, '4': {'date': '25/10/2566', 'sta': 'ขายได้'}, '5': {'date': '15/11/2566', 'sta': 'ขายได้'}, '6': {'date': '06/12/2566', 'sta': 'ขายได้'}}",ปลอดภาระผูกพัน,403920,24-07-2566,"['https://asset.led.go.th/PPKPicture/2566/06-2566/02/43p.jpg', 'https://asset.led.go.th/PPKPicture/2566/06-2566/02/43j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%C1%C2.43&law_suit_year=2562&deed_no=-&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,2/1,,,20231206,ขายได้,"['20230823', '20230913', '20231004', '20231025', '20231115', '20231206']",6,0,403920,https://asset.led.go.th/PPKPicture/2566/06-2566/02/43p.jpg,https://asset.led.go.th/PPKPicture/2566/06-2566/02/43j.jpg,2023-12-02
1 - 1,60/2562,ที่ดินว่างเปล่า,1,1,60.0,196000.0,บ้านโป่ง,งาว,ลำปาง,6335,10000,"{'1': {'date': '24/08/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '14/09/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '05/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '26/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '5': {'date': '16/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '6': {'date': '07/12/2566', 'sta': '-'}}",ปลอดการจำนอง,196000,30-06-2566,"['https://asset.led.go.th/PPKPicture/2566/06-2566/19/6335p.jpg', 'https://asset.led.go.th/PPKPicture/2566/06-2566/19/6335j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=60&law_suit_year=2562&deed_no=6335&addrno=-,3/1,18.71462004,99.97458949,20231207,-,"['20230824', '20230914', '20231005', '20231026', '20231116', '20231207']",6,5,137200,https://asset.led.go.th/PPKPicture/2566/06-2566/19/6335p.jpg,https://asset.led.go.th/PPKPicture/2566/06-2566/19/6335j.jpg,2023-12-02
1 - 1,ผบ.7441/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,0,1,82.0,983600.0,พระบาท,เมืองลำปาง,ลำปาง,96720,50000,"{'1': {'date': '26/10/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '16/11/2566', 'sta': 'งดขาย'}, '3': {'date': '07/12/2566', 'sta': '-'}, '4': {'date': '28/12/2566', 'sta': '-'}, '5': {'date': '18/01/2567', 'sta': '-'}, '6': {'date': '08/02/2567', 'sta': '-'}}",ปลอดการจำนอง,983600,01-09-2566,"['https://asset.led.go.th/PPKPicture/2566/08-2566/21/96720p.jpg', 'https://asset.led.go.th/PPKPicture/2566/08-2566/21/96720j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.7441&law_suit_year=2562&deed_no=96720&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,4/1,18.2446264,99.50383413,20231207,-,"['20231026', '20231116', '20231207', '20231228', '20240118', '20240208']",3,1,885240,https://asset.led.go.th/PPKPicture/2566/08-2566/21/96720p.jpg,https://asset.led.go.th/PPKPicture/2566/08-2566/21/96720j.jpg,2023-12-02
1 - 1,ผบ.199/2557,ที่ดินว่างเปล่า,0,2,67.0,40050.0,(เสริมซ้าย) เสริมกลาง,เสริมงาม,ลำปาง,9767,5000,"{'1': {'date': '23/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '14/12/2566', 'sta': '-'}, '3': {'date': '04/01/2567', 'sta': '-'}, '4': {'date': '25/01/2567', 'sta': '-'}, '5': {'date': '15/02/2567', 'sta': '-'}, '6': {'date': '07/03/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,40050,29-09-2566,"['https://asset.led.go.th/PPKPicture/2566/09-2566/19/9767p.jpg', 'https://asset.led.go.th/PPKPicture/2566/09-2566/19/9767j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.199&law_suit_year=2557&deed_no=9767&addrno=-,5/1,18.0459316,99.17536296,20231214,-,"['20231123', '20231214', '20240104', '20240125', '20240215', '20240307']",2,1,36045,https://asset.led.go.th/PPKPicture/2566/09-2566/19/9767p.jpg,https://asset.led.go.th/PPKPicture/2566/09-2566/19/9767j.jpg,2023-12-02
1 - 1,2714/2548,ที่ดินว่างเปล่า,2,0,0.0,400000.0,ท่าผา,เกาะคา,ลำปาง,50292,25000,"{'1': {'date': '21/12/2566', 'sta': '-'}, '2': {'date': '11/01/2567', 'sta': '-'}, '3': {'date': '01/02/2567', 'sta': '-'}, '4': {'date': '22/02/2567', 'sta': '-'}, '5': {'date': '14/03/2567', 'sta': '-'}, '6': {'date': '04/04/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,400000,31-10-2566,"['https://asset.led.go.th/PPKPicture/2566/10-2566/16/50292p.jpg', 'https://asset.led.go.th/PPKPicture/2566/10-2566/16/50292j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=2714&law_suit_year=2548&deed_no=50292&addrno=-,6/1,18.17098737,99.36294729,20231221,-,"['20231221', '20240111', '20240201', '20240222', '20240314', '20240404']",1,0,400000,https://asset.led.go.th/PPKPicture/2566/10-2566/16/50292p.jpg,https://asset.led.go.th/PPKPicture/2566/10-2566/16/50292j.jpg,2023-12-02
1 - 1,4716/2551,ที่ดินว่างเปล่า,0,2,73.0,109200.0,เกาะคา,เกาะคา,ลำปาง,56744,10000,"{'1': {'date': '25/01/2567', 'sta': '-'}, '2': {'date': '15/02/2567', 'sta': '-'}, '3': {'date': '07/03/2567', 'sta': '-'}, '4': {'date': '28/03/2567', 'sta': '-'}, '5': {'date': '18/04/2567', 'sta': '-'}, '6': {'date': '09/05/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,109200,30-11-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/14/56744p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/14/56744j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=4716&law_suit_year=2551&deed_no=56744&addrno=-,7/1,18.19252845,99.34230681,20240125,-,"['20240125', '20240215', '20240307', '20240328', '20240418', '20240509']",1,0,109200,https://asset.led.go.th/PPKPicture/2566/11-2566/14/56744p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/14/56744j.jpg,2023-12-02
1 - 2,4716/2551,ที่ดินว่างเปล่า,0,2,73.0,109200.0,เกาะคา,เกาะคา,ลำปาง,56881,10000,"{'1': {'date': '25/01/2567', 'sta': '-'}, '2': {'date': '15/02/2567', 'sta': '-'}, '3': {'date': '07/03/2567', 'sta': '-'}, '4': {'date': '28/03/2567', 'sta': '-'}, '5': {'date': '18/04/2567', 'sta': '-'}, '6': {'date': '09/05/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,109200,30-11-2566,"['https://asset.led.go.th/PPKPicture/2566/11-2566/14/56881p.jpg', 'https://asset.led.go.th/PPKPicture/2566/11-2566/14/56881j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=4716&law_suit_year=2551&deed_no=56881&addrno=-,8/1,18.19151297,99.34107507,20240125,-,"['20240125', '20240215', '20240307', '20240328', '20240418', '20240509']",1,0,109200,https://asset.led.go.th/PPKPicture/2566/11-2566/14/56881p.jpg,https://asset.led.go.th/PPKPicture/2566/11-2566/14/56881j.jpg,2023-12-02
2 - 1,ผบ.1929/2553,ที่ดินพร้อมสิ่งปลูกสร้าง,0,3,51.0,258097.5,แจ้ซ้อน,เมืองปาน,ลำปาง,25136,25000,"{'1': {'date': '28/09/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '19/10/2566', 'sta': 'งดขาย'}, '3': {'date': '09/11/2566', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '4': {'date': '30/11/2566', 'sta': 'งดขายในนัดที่เหลือ'}, '5': {'date': '21/12/2566', 'sta': 'งดขายในนัดที่เหลือ'}, '6': {'date': '11/01/2567', 'sta': 'งดขายในนัดที่เหลือ'}}",ปลอดภาระผูกพัน,258097,31-07-2566,"['https://asset.led.go.th/PPKPicture/2566/07-2566/17/25136p.jpg', 'https://asset.led.go.th/PPKPicture/2566/07-2566/17/25136j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.1929&law_suit_year=2553&deed_no=25136&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,9/1,18.28132637,99.47324856,20231221,งดขายในนัดที่เหลือ,"['20230928', '20231019', '20231109', '20231130', '20231221', '20240111']",5,2,206477,https://asset.led.go.th/PPKPicture/2566/07-2566/17/25136p.jpg,https://asset.led.go.th/PPKPicture/2566/07-2566/17/25136j.jpg,2023-12-02
2 - 1,พ.2026/2550,ที่ดินว่างเปล่า,0,2,4.0,30600.0,วังทอง,วังเหนือ,ลำปาง,27102,5000,"{'1': {'date': '23/11/2566', 'sta': 'งดขาย'}, '2': {'date': '14/12/2566', 'sta': '-'}, '3': {'date': '04/01/2567', 'sta': '-'}, '4': {'date': '25/01/2567', 'sta': '-'}, '5': {'date': '15/02/2567', 'sta': '-'}, '6': {'date': '07/03/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,30600,29-09-2566,"['https://asset.led.go.th/PPKPicture/2566/09-2566/19/27102p.jpg', 'https://asset.led.go.th/PPKPicture/2566/09-2566/19/27102j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE.2026&law_suit_year=2550&deed_no=27102&addrno=-,10/1,19.00459897,99.70336503,20231214,-,"['20231123', '20231214', '20240104', '20240125', '20240215', '20240307']",2,0,30600,https://asset.led.go.th/PPKPicture/2566/09-2566/19/27102p.jpg,https://asset.led.go.th/PPKPicture/2566/09-2566/19/27102j.jpg,2023-12-02
