sell_order,case_id,type,size2,size1,size0,eva_price,tumbon,aumper,province,deed_number,pay_down,sell_table,status,max_price,announce_date,img,link,page,lat,lon,lastSta_date,lastSta_detail,bid_dates,bid_time,discount_factor,current_price,img0,img1,timestamp
1 - 1,ผบ.809/2562,ที่ดินว่างเปล่า,0,0,57.0,28500.0,ป่าไผ่,สันทราย,เชียงใหม่,36845,10000.0,"{'1': {'date': '04/07/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '25/07/2567', 'sta': '-'}, '3': {'date': '15/08/2567', 'sta': '-'}, '4': {'date': '05/09/2567', 'sta': '-'}, '5': {'date': '26/09/2567', 'sta': '-'}, '6': {'date': '17/10/2567', 'sta': '-'}}",ปลอดภาระผูกพัน,28500.0,07-05-2567,"['https://asset.led.go.th/PPKPicture/2567/03-2567/26/36845p.jpg', 'https://asset.led.go.th/PPKPicture/2567/03-2567/26/36845j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.809&law_suit_year=2562&deed_no=36845&addrno=-,1/1,18.89221707,99.05445616,20240725.0,-,"['20240704', '20240725', '20240815', '20240905', '20240926', '20241017']",2.0,1.0,25650.0,https://asset.led.go.th/PPKPicture/2567/03-2567/26/36845p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/26/36845j.jpg,2024-07-09
1 - 1,ผบ.10117/2558,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,35.0,1760000.0,สันกำแพง,สันกำแพง,เชียงใหม่,64701,150000.0,"{'1': {'date': '13/06/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '2': {'date': '04/07/2567', 'sta': 'งดขายไม่มีผู้สู้ราคา'}, '3': {'date': '25/07/2567', 'sta': '-'}, '4': {'date': '15/08/2567', 'sta': '-'}, '5': {'date': '05/09/2567', 'sta': '-'}, '6': {'date': '26/09/2567', 'sta': '-'}}",การจำนองติดไป,1760000.0,17-04-2567,"['https://asset.led.go.th/PPKPicture/2567/03-2567/11/64701p.jpg', 'https://asset.led.go.th/PPKPicture/2567/03-2567/11/64701j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.10117&law_suit_year=2558&deed_no=64701&addrno=121/97,2/1,18.74637047,99.10088139,20240725.0,-,"['20240613', '20240704', '20240725', '20240815', '20240905', '20240926']",3.0,2.0,1408000.0,https://asset.led.go.th/PPKPicture/2567/03-2567/11/64701p.jpg,https://asset.led.go.th/PPKPicture/2567/03-2567/11/64701j.jpg,2024-07-09
1 - 1,ผบE.839/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,0,2,88.9,4098600.0,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,97375,250000.0,"{'1': {'date': '11/04/2567', 'sta': 'งดขาย'}, '2': {'date': '02/05/2567', 'sta': 'งดขาย'}, '3': {'date': '23/05/2567', 'sta': 'งดขาย'}, '4': {'date': '13/06/2567', 'sta': 'งดขาย'}, '5': {'date': '04/07/2567', 'sta': 'งดขาย'}, '6': {'date': '25/07/2567', 'sta': 'งดขาย'}}",ปลอดภาระผูกพัน,4098600.0,12-02-2567,"['https://asset.led.go.th/PPKPicture/2567/01-2567/16/97375p.jpg', 'https://asset.led.go.th/PPKPicture/2567/01-2567/16/97375j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BAE.839&law_suit_year=2563&deed_no=97375&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,3/1,18.76091857,98.95698014,20240725.0,งดขาย,"['20240411', '20240502', '20240523', '20240613', '20240704', '20240725']",6.0,0.0,4098600.0,https://asset.led.go.th/PPKPicture/2567/01-2567/16/97375p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/16/97375j.jpg,2024-07-09
1 - 1,พณ.9/2566,ที่ดินพร้อมสิ่งปลูกสร้าง,1,0,20.0,4666656.0,สารภี(ปากกอง),สารภี,เชียงใหม่,21715,250000.0,"{'1': {'date': '01/08/2567', 'sta': '-'}, '2': {'date': '22/08/2567', 'sta': '-'}, '3': {'date': '12/09/2567', 'sta': '-'}, '4': {'date': '03/10/2567', 'sta': '-'}, '5': {'date': '24/10/2567', 'sta': '-'}, '6': {'date': '14/11/2567', 'sta': '-'}}",ปลอดการจำนอง,4666656.0,04-06-2567,"['https://asset.led.go.th/PPKPicture/2567/04-2567/29/21715p.jpg', 'https://asset.led.go.th/PPKPicture/2567/04-2567/29/21715j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE%B3.9&law_suit_year=2566&deed_no=21715&addrno=107/1,4/1,18.68067071,99.04015863,20240801.0,-,"['20240801', '20240822', '20240912', '20241003', '20241024', '20241114']",1.0,0.0,4666656.0,https://asset.led.go.th/PPKPicture/2567/04-2567/29/21715p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/29/21715j.jpg,2024-07-09
1 - 1,ผบ.7612/2563,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,51.0,853200.0,สันทรายน้อย,สันทราย,เชียงใหม่,40652,100000.0,"{'1': {'date': '02/05/2567', 'sta': 'งดขาย'}, '2': {'date': '23/05/2567', 'sta': 'งดขาย'}, '3': {'date': '13/06/2567', 'sta': 'งดขาย'}, '4': {'date': '04/07/2567', 'sta': 'งดขาย'}, '5': {'date': '25/07/2567', 'sta': '-'}, '6': {'date': '15/08/2567', 'sta': '-'}}",ปลอดการจำนอง,853200.0,04-03-2567,"['https://asset.led.go.th/PPKPicture/2567/02-2567/12/40652p.jpg', 'https://asset.led.go.th/PPKPicture/2567/02-2567/12/40652j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.7612&law_suit_year=2563&deed_no=40652&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,5/1,18.82645643,99.03307552,20240725.0,-,"['20240502', '20240523', '20240613', '20240704', '20240725', '20240815']",5.0,0.0,853200.0,https://asset.led.go.th/PPKPicture/2567/02-2567/12/40652p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/12/40652j.jpg,2024-07-09
1 - 1,ผบ.7242/2560,ที่ดินพร้อมสิ่งปลูกสร้าง,0,3,14.0,1484128.0,หนองตอง,หางดง,เชียงใหม่,17893,150000.0,"{'1': {'date': '18/07/2567', 'sta': '-'}, '2': {'date': '08/08/2567', 'sta': '-'}, '3': {'date': '29/08/2567', 'sta': '-'}, '4': {'date': '19/09/2567', 'sta': '-'}, '5': {'date': '10/10/2567', 'sta': '-'}, '6': {'date': '31/10/2567', 'sta': '-'}}",การจำนองติดไป,1484128.0,20-05-2567,"['https://asset.led.go.th/PPKPicture/2567/04-2567/09/17893p.jpg', 'https://asset.led.go.th/PPKPicture/2567/04-2567/09/17893j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.7242&law_suit_year=2560&deed_no=17893&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,6/1,18.63239476,98.94097826,20240718.0,-,"['20240718', '20240808', '20240829', '20240919', '20241010', '20241031']",1.0,0.0,1484128.0,https://asset.led.go.th/PPKPicture/2567/04-2567/09/17893p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/09/17893j.jpg,2024-07-09
1 - 1,ผบ.5427/2562,ที่ดินพร้อมสิ่งปลูกสร้าง,0,1,46.0,2821616.0,บ้านแหวน,หางดง,เชียงใหม่,7259,150000.0,"{'1': {'date': '30/05/2567', 'sta': 'งดขาย'}, '2': {'date': '20/06/2567', 'sta': 'งดขาย'}, '3': {'date': '11/07/2567', 'sta': '-'}, '4': {'date': '01/08/2567', 'sta': '-'}, '5': {'date': '22/08/2567', 'sta': '-'}, '6': {'date': '12/09/2567', 'sta': '-'}}",การจำนองติดไป,2821616.0,01-04-2567,"['https://asset.led.go.th/PPKPicture/2567/02-2567/27/7259p.jpg', 'https://asset.led.go.th/PPKPicture/2567/02-2567/27/7259j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.5427&law_suit_year=2562&deed_no=7259&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,7/1,18.69974106,98.93935246,20240711.0,-,"['20240530', '20240620', '20240711', '20240801', '20240822', '20240912']",3.0,0.0,2821616.0,https://asset.led.go.th/PPKPicture/2567/02-2567/27/7259p.jpg,https://asset.led.go.th/PPKPicture/2567/02-2567/27/7259j.jpg,2024-07-09
1 - 1,ผบ.14513/2561,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,49.5,1118304.0,ริมใต้,แม่ริม,เชียงใหม่,41526,150000.0,"{'1': {'date': '29/08/2567', 'sta': 'ถอนการยึด'}, '2': {'date': '19/09/2567', 'sta': 'ถอนการยึด'}, '3': {'date': '10/10/2567', 'sta': 'ถอนการยึด'}, '4': {'date': '31/10/2567', 'sta': 'ถอนการยึด'}, '5': {'date': '21/11/2567', 'sta': 'ถอนการยึด'}, '6': {'date': '12/12/2567', 'sta': 'ถอนการยึด'}}",ปลอดภาระผูกพัน,1118304.0,01-07-2567,"['https://asset.led.go.th/PPKPicture/2567/05-2567/17/41526p.jpg', 'https://asset.led.go.th/PPKPicture/2567/05-2567/17/41526j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.14513&law_suit_year=2561&deed_no=41526&addrno=%E4%C1%E8%BB%C3%D2%A1%AF%E0%C5%A2%B7%D0%E0%BA%D5%C2%B9,8/1,18.91466563,98.93920478,20240829.0,ถอนการยึด,"['20240829', '20240919', '20241010', '20241031', '20241121', '20241212']",1.0,0.0,1118304.0,https://asset.led.go.th/PPKPicture/2567/05-2567/17/41526p.jpg,https://asset.led.go.th/PPKPicture/2567/05-2567/17/41526j.jpg,2024-07-09
1 - 1,พณ.9/2566,ที่ดินว่างเปล่า,1,0,29.0,4666656.0,สารภี(ปากกอง),สารภี,เชียงใหม่,21716,250000.0,"{'1': {'date': '01/08/2567', 'sta': '-'}, '2': {'date': '22/08/2567', 'sta': '-'}, '3': {'date': '12/09/2567', 'sta': '-'}, '4': {'date': '03/10/2567', 'sta': '-'}, '5': {'date': '24/10/2567', 'sta': '-'}, '6': {'date': '14/11/2567', 'sta': '-'}}",ปลอดการจำนอง,4666656.0,04-06-2567,"['https://asset.led.go.th/PPKPicture/2567/04-2567/29/21715p.jpg', 'https://asset.led.go.th/PPKPicture/2567/04-2567/29/21715j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BE%B3.9&law_suit_year=2566&deed_no=21716&addrno=-,9/1,18.68078944,99.03991744,20240801.0,-,"['20240801', '20240822', '20240912', '20241003', '20241024', '20241114']",1.0,0.0,4666656.0,https://asset.led.go.th/PPKPicture/2567/04-2567/29/21715p.jpg,https://asset.led.go.th/PPKPicture/2567/04-2567/29/21715j.jpg,2024-07-09
2 - 1,ผบ.497/2566,ที่ดินพร้อมสิ่งปลูกสร้าง,0,0,48.3,1167301.63,หนองหาร,สันทราย,เชียงใหม่,103721,150000.0,"{'1': {'date': '11/04/2567', 'sta': 'งดขาย'}, '2': {'date': '02/05/2567', 'sta': 'งดขาย'}, '3': {'date': '23/05/2567', 'sta': '-'}, '4': {'date': '13/06/2567', 'sta': 'งดขายในนัดที่เหลือ'}, '5': {'date': '04/07/2567', 'sta': 'งดขายในนัดที่เหลือ'}, '6': {'date': '25/07/2567', 'sta': 'งดขายในนัดที่เหลือ'}}",ปลอดการจำนอง,1167301.0,12-02-2567,"['https://asset.led.go.th/PPKPicture/2567/01-2567/16/103721p.jpg', 'https://asset.led.go.th/PPKPicture/2567/01-2567/16/103721j.jpg']",https://asset.led.go.th/newbid-old/asset_open.asp?law_suit_no=%BC%BA.497&law_suit_year=2566&deed_no=103721&addrno=333/206,10/1,18.55549732,98.93059174,20240725.0,งดขายในนัดที่เหลือ,"['20240411', '20240502', '20240523', '20240613', '20240704', '20240725']",6.0,0.0,1167301.0,https://asset.led.go.th/PPKPicture/2567/01-2567/16/103721p.jpg,https://asset.led.go.th/PPKPicture/2567/01-2567/16/103721j.jpg,2024-07-09
